replicate,cat_launcher,I,arm_angle,arm_length,num_twists,anglelength,angletwists,lengthtwists,anglelengthtwists,fly_dist
1,cl2,1,20,6,6,1,-1,-1,1,144
2,cl1,1,20,6,6,1,-1,-1,1,110.6
3,cl2,1,20,6,6,1,-1,-1,1,138.7
4,cl1,1,20,6,6,1,-1,-1,1,123.7
1,cl2,1,20,9,4,-1,-1,1,1,23.5
2,cl1,1,20,9,4,-1,-1,1,1,19.5
3,cl2,1,20,9,4,1,-1,-1,1,23.5
4,cl1,1,20,9,4,-1,-1,1,1,22.5
1,cl2,1,40,6,4,1,-1,-1,1,25
2,cl1,1,40,6,4,-1,-1,1,1,52.5
3,cl2,1,40,6,4,-1,-1,1,1,23.5
4,cl1,1,40,6,4,-1,-1,1,1,52.3
1,cl2,1,40,9,6,1,-1,-1,1,46
2,cl1,1,40,9,6,-1,-1,1,1,81.4
3,cl2,1,40,9,6,-1,-1,1,1,61
4,cl1,1,40,9,6,1,-1,-1,1,67.5
1,cl2,NA,30,7.5,5,NA,NA,NA,NA,49
2,cl1,NA,30,7.5,5,NA,NA,NA,NA,54.2
3,cl2,NA,30,7.5,5,NA,NA,NA,NA,43.6
4,cl1,NA,30,7.5,5,NA,NA,NA,NA,40.1
1,cl2,NA,30,7.5,5,NA,NA,NA,NA,43
2,cl1,NA,30,7.5,5,NA,NA,NA,NA,45.2
3,cl2,NA,30,7.5,5,NA,NA,NA,NA,53.5
4,cl1,NA,30,7.5,5,NA,NA,NA,NA,75
1,cl2,NA,20,6,6,NA,NA,NA,NA,165
2,cl1,NA,20,6,6,NA,NA,NA,NA,178
3,cl2,NA,20,6,6,NA,NA,NA,NA,153
4,cl1,NA,20,6,6,NA,NA,NA,NA,179.5
1,cl2,NA,20,9,4,NA,NA,NA,NA,59.5
2,cl1,NA,20,9,4,NA,NA,NA,NA,58.5
3,cl2,NA,20,9,4,NA,NA,NA,NA,62.6
4,cl1,NA,20,9,4,NA,NA,NA,NA,51.1
1,cl2,1,40,6,4,1,1,1,1,31.2
2,cl1,1,40,6,4,1,1,1,1,38.5
3,cl2,1,40,6,4,-1,1,-1,1,32
4,cl1,1,40,6,4,1,1,1,1,44.9
1,cl2,1,40,9,6,-1,1,-1,1,54.7
2,cl1,1,40,9,6,-1,1,-1,1,61.3
3,cl2,1,40,9,6,-1,1,-1,1,48.5
4,cl1,1,40,9,6,-1,1,-1,1,53.5
1,cl2,1,30,7.5,5,1,1,1,1,42.1
2,cl1,1,30,7.5,5,1,1,1,1,47
3,cl2,1,30,7.5,5,-1,1,-1,1,35.8
4,cl1,1,30,7.5,5,-1,1,-1,1,51.5
1,cl2,1,30,7.5,5,1,1,1,1,37.5
2,cl1,1,30,7.5,5,1,1,1,1,43.6
3,cl2,1,30,7.5,5,-1,1,-1,1,25.2
4,cl1,1,30,7.5,5,1,1,1,1,32.5
